X	A1: Sample 1	X	A2: Sample 2	X	A3: Sample 3	X	A4: Sample 4	X	A5: Sample 5	X	A6: Sample 6	X	A7: Sample 7	X	A8: Sample 8	X	A9: Sample 9	X	A10: Sample 10	X	A11: Sample 11	X	A12: Sample 12	X	B1: Sample 25	X	B2: Sample 26	X	B3: Sample 27	X	B4: Sample 28	X	B5: Sample 29	X	B6: Sample 30	X	B7: Sample 31	X	B8: Sample 32	X	B9: Sample 33	X	B10: Sample 34	X	B11: Sample 35	X	B12: Sample 36	X	C1: Sample 49	X	C2: Sample 50	X	C3: Sample 51	X	C4: Sample 52	X	C5: Sample 53	X	C6: Sample 54	X	C7: Sample 55	X	C8: Sample 56	X	C9: Sample 57	X	C10: Sample 58	X	C11: Sample 59	X	C12: Sample 60	X	D1: Sample 73	X	D2: Sample 74	X	D3: Sample 75	X	D4: Sample 76	X	D5: Sample 77	X	D6: Sample 78	X	D7: Sample 79	X	D8: Sample 80	X	D9: Sample 81	X	D10: Sample 82	X	D11: Sample 83	X	D12: Sample 84
20.06	1094.44363226672	20.06	955.728874282685	20.06	513.565544691866	20.06	266.124513667977	20.06	158.29600564496	20.06	83.0776983630395	20.06	38.3047138145584	20.06	21.9230697540466	20.06	14.9800100726282	20.06	14.5728394894781	20.06	11.8419517775972	20.06	9.36611502946256	20.06	1112.44132828094	20.06	939.083454185379	20.06	524.703425180888	20.06	278.540648195796	20.06	166.872346615363	20.06	97.5101128309787	20.06	63.3038671192771	20.06	23.8781378892605	20.06	14.9858090216052	20.06	13.4188273233806	20.06	16.3964764562672	20.06	8.47882786672748	20.06	1134.68268541043	20.06	970.277316460828	20.06	561.281246101547	20.06	288.010258779316	20.06	164.552754841879	20.06	85.0619135264627	20.06	41.425011305514	20.06	22.7596991076441	20.06	22.5459253002784	20.06	13.5844156413735	20.06	11.2703601281324	20.06	8.75744086777617	20.06	994.918171469561	20.06	950.367331742764	20.06	536.725621023578	20.06	285.57552863024	20.06	169.817262447761	20.06	91.229400330199	20.06	44.1531183238991	20.06	21.45404777603	20.06	15.2649184662901	20.06	14.4068095498456	20.06	13.9045380308718	20.06	9.08808070504499
20.06	1095.38115028668	20.06	954.997059235947	20.06	513.728401938178	20.06	265.28247888882	20.06	157.498266701982	20.06	83.2585868849713	20.06	38.3725402748348	20.06	21.5498362130749	20.06	14.8152491761966	20.06	14.5095682554258	20.06	11.8821824145231	20.06	9.3579431728994	20.06	1113.81750124642	20.06	939.892535522872	20.06	525.870592748972	20.06	278.601705643151	20.06	166.423144786863	20.06	97.5766327083074	20.06	63.299112463776	20.06	23.5042362339134	20.06	14.9727340293142	20.06	13.2055095019787	20.06	16.281357296503	20.06	8.5218551048061	20.06	1136.0342920354	20.06	970.801718496822	20.06	560.892852969587	20.06	286.44431926181	20.06	164.308216903745	20.06	84.7860618495264	20.06	41.2378133569114	20.06	22.7398414616571	20.06	22.7273818606467	20.06	13.270950935494	20.06	11.1599858110569	20.06	8.74980007429811	20.06	993.389512962732	20.06	949.740881683909	20.06	536.004494889692	20.06	284.11522439393	20.06	169.366842301041	20.06	91.1498034459523	20.06	43.9638596408373	20.06	21.6863288674942	20.06	15.5024488920525	20.06	14.3942397297224	20.06	13.9927131494025	20.06	8.82931846819301
20.23	1096.89778037383	20.23	955.116140965732	20.23	513.142279984424	20.23	265.063935942368	20.23	157.864826713396	20.23	82.5792262947819	20.23	38.1605334890966	20.23	21.5444655373832	20.23	14.65990222206	20.23	14.3543218214564	20.23	11.9297711618964	20.23	9.40618230992017	20.23	1115.68195093458	20.23	941.133761682243	20.23	524.77492211838	20.23	278.380257009346	20.23	165.724031347352	20.23	97.5523145443925	20.23	63.3338018399533	20.23	23.3975263458917	20.23	14.9690025068146	20.23	13.2022184092679	20.23	16.1261180271612	20.23	8.46931890089564	20.23	1136.56542056075	20.23	970.610591900312	20.23	561.00632788162	20.23	286.474031347352	20.23	164.166338103583	20.23	84.6641415985202	20.23	41.3282132252726	20.23	22.5832846573209	20.23	22.4703715196651	20.23	13.2676435333917	20.23	11.0064320787091	20.23	8.69734624464564	20.23	996.952005451713	20.23	950.872274143302	20.23	536.174260124611	20.23	283.893058800623	20.23	169.475722838785	20.23	91.026504088785	20.23	43.9026723130841	20.23	21.379800671729	20.23	15.4484277647975	20.23	14.2903691467095	20.23	13.8388033002336	20.23	8.97758089344821
20.38	1096.50549775729	20.38	953.364942842014	20.38	512.16223056317	20.38	264.522893369985	20.38	157.946610040805	20.38	82.9235283181224	20.38	38.0039651406367	20.38	21.8451866151803	20.38	14.9613457191861	20.38	14.3525333437811	20.38	11.82719728996	20.38	9.25331600520963	20.38	1115.18599707202	20.38	939.897384282332	20.38	524.811063263145	20.38	279.054863685211	20.38	166.411518521835	20.38	97.4896466853819	20.38	63.4268278972247	20.38	23.6971283149101	20.38	14.9167427540182	20.38	13.2005734779934	20.38	16.3256601713377	20.38	8.61948271389469	20.38	1136.77997679417	20.38	970.591184120359	20.38	561.138993583354	20.38	286.185619393222	20.38	164.044966651352	20.38	85.2582622103165	20.38	41.3230639338167	20.38	22.7313416455115	20.38	22.4173079337855	20.38	13.3664908505365	20.38	11.1558143735496	20.38	8.79679721933988	20.38	995.60870530152	20.38	950.095101077747	20.38	536.360198495515	20.38	283.201883916334	20.38	168.69923724458	20.38	91.3168676411039	20.38	43.9976539868474	20.38	21.4774988489557	20.38	15.44650296692	20.38	14.138181768627	20.38	14.0376159683178	20.38	9.07675740488919
20.85	1097.01672688762	20.85	952.548942499377	20.85	511.449653859332	20.85	264.472106279591	20.85	157.743717196455	20.85	82.6702499104473	20.85	38.0545697187266	20.85	21.6934839092286	20.85	14.9613457191861	20.85	14.5546824504929	20.85	11.9282847712707	20.85	9.40501034601412	20.85	1115.54294246823	20.85	940.558711531273	20.85	523.998907846374	20.85	278.497568449414	20.85	166.158617306255	20.85	97.3381067195676	20.85	63.1240704039995	20.85	23.7475473388246	20.85	15.0175321318995	20.85	12.9990373084351	20.85	16.3256601713377	20.85	8.56907661793507	20.85	1135.50784170197	20.85	969.423689415649	20.85	560.024841141291	20.85	286.033988171256	20.85	164.145883787846	20.85	84.9055389320646	20.85	41.2727331241823	20.85	22.7313416455115	20.85	22.2665193102884	20.85	13.3664908505365	20.85	11.2563178154883	20.85	8.79679721933988	20.85	995.91347651383	20.85	949.487213431348	20.85	534.692133379018	20.85	283.201883916334	20.85	168.69923724458	20.85	91.1157329986139	20.85	44.0981057169667	20.85	21.4774988489557	20.85	15.4966543061223	20.85	14.3387232461298	20.85	13.7869444447148	20.85	9.07675740488919
21.15	1097.08454668618	21.15	952.889174816245	21.15	511.538644963872	21.15	263.677228027283	21.15	157.419782452971	21.15	82.3560570963623	21.15	38.3534185405506	21.15	21.6907813448946	21.15	14.7067885388766	21.15	14.3507453117214	21.15	12.1289477663764	21.15	9.35327993972491	21.15	1113.16046623894	21.15	938.610315186246	21.15	523.07081763112	21.15	277.905647541111	21.15	165.834473690358	21.15	97.0734513205432	21.15	63.2675693655008	21.15	23.7950016229405	21.15	14.8141076114208	21.15	13.2493052013906	21.15	16.2228631931684	21.15	8.61840890266834	21.15	1134.80674598231	21.15	968.084862028155	21.15	558.739741653171	21.15	284.835944312944	21.15	163.822708709667	21.15	84.4415174469758	21.15	41.0159595642052	21.15	22.6782263060413	21.15	22.314001463323	21.15	13.4150680783411	21.15	11.2046700479145	21.15	8.69517922178663	21.15	993.45315030522	21.15	947.646517223122	21.15	533.715750358166	21.15	282.510905576492	21.15	168.225050513112	21.15	90.4004830863803	21.15	43.8415154760885	21.15	21.6253481900928	21.15	15.2941448952559	21.15	14.2868085713646	21.15	13.8353552366233	21.15	9.12576867646887
21.52	1093.26770366218	21.52	950.475873505232	21.52	508.67637098281	21.52	262.273084244208	21.52	157.095916246263	21.52	82.8522291121699	21.52	37.6909454604198	21.52	21.7891904092512	21.52	14.9070872794827	21.52	14.2984326585466	21.52	11.8747819521324	21.52	9.30156318120952	21.52	1112.20600943572	21.52	938.340904490533	21.52	521.635457539238	21.52	276.604759318946	21.52	165.004722241685	21.52	97.0613594606378	21.52	62.8561144393062	21.52	23.5400037855786	21.52	14.7618816928835	21.52	13.0965418642174	21.52	16.1704663560351	21.52	8.46615398351862	21.52	1132.32524056428	21.52	966.035963969855	21.52	556.492997166168	21.52	284.59833940583	21.52	162.793358012581	21.52	84.2294948636802	21.52	40.8598895564742	21.52	22.6251226785353	21.52	22.562475731911	21.52	13.3129232014122	21.52	11.0023190622372	21.52	8.74435052268233	21.52	992.923206278027	21.52	946.515516006477	21.52	532.537485986547	21.52	281.820075049826	21.52	168.002725324645	21.52	90.4394920512581	21.52	43.8862662322496	21.52	21.2714742176795	21.52	15.242100949898	21.52	14.2349053094443	21.52	13.9338760870158	21.52	8.97422604259117
21.9	1092.72266938598	21.9	950.306603406402	21.9	508.816477768091	21.9	261.834151980321	21.9	156.772130713663	21.9	81.9304435483871	21.9	37.7368367791755	21.9	21.8875734398353	21.9	14.6525987460495	21.9	14.3471705837822	21.9	11.8227781105018	21.9	9.40149620589231	21.9	1111.96560904222	21.9	936.901875233528	21.9	520.758636660854	21.9	276.469015638622	21.9	164.933609805082	21.9	97.2512423227519	21.9	62.9996049476896	21.9	23.5874720982143	21.9	14.9615450388825	21.9	13.1452759260376	21.9	16.26919038359	21.9	8.51548679858754	21.9	1131.72639805704	21.9	965.306817474156	21.9	556.170551672064	21.9	283.804995952173	21.9	162.873973934332	21.9	84.0678918315637	21.9	41.1063696590095	21.9	22.4714903713297	21.9	22.3084431119808	21.9	13.2610336723712	21.9	10.900482850497	21.9	8.54226731321615	21.9	990.362377786773	21.9	944.321171690123	21.9	530.702667673434	21.9	280.574737864304	21.9	168.132815905623	21.9	90.5790301660387	21.9	43.730180488308	21.9	21.3189863745874	21.9	15.2402025689104	21.9	14.1830164968396	21.9	13.6815627821802	21.9	8.97310831609439
22.2	1089.24737669697	22.2	946.023788765724	22.2	505.865651077345	22.2	261.326324884793	22.2	156.265106372213	22.2	82.0823586763607	22.2	37.6862511092602	22.2	21.2809893481831	22.2	14.6020723704695	22.2	14.3976893575243	22.2	11.7722540154732	22.2	9.04767626411874	22.2	1108.44818392701	22.2	933.342220388591	22.2	519.845297126043	22.2	275.101609205692	22.2	164.377422857766	22.2	96.7967983734743	22.2	62.7978460891767	22.2	23.5874720982143	22.2	14.6592914041093	22.2	13.2963700555214	22.2	16.26919038359	22.2	8.51548679858754	22.2	1129.79346353842	22.2	962.566944825009	22.2	553.689895612779	22.2	282.440800535559	22.2	162.420004339737	22.2	83.7153003467898	22.2	40.7038584253176	22.2	22.320674469112	22.2	22.0572221351896	22.2	13.2610336723712	22.2	11.101413868866	22.2	8.6930132785255	22.2	990.057720450866	22.2	942.042128534064	22.2	529.641572736331	22.2	279.81832458899	22.2	166.773655946413	22.2	89.9255701013513	22.2	43.730180488308	22.2	21.3189863745874	22.2	15.2402025689104	22.2	14.2331323731746	22.2	13.7316771381477	22.2	8.97310831609439
22.56	1088.19193648817	22.56	944.886460927771	22.56	505.293965986924	22.56	259.770513893213	22.56	155.485204409247	22.56	81.9202405043586	22.56	37.8838754086239	22.56	21.4299663006888	22.56	14.4992137638154	22.56	14.3958963700576	22.56	11.5687144886364	22.56	9.24870663235523	22.56	1106.67905510585	22.56	932.717446295143	22.56	517.903370174346	22.56	274.814149089352	22.56	164.306397396482	22.56	96.3808447812889	22.56	62.8404591181507	22.56	23.3325636164189	22.56	14.7078354242878	22.56	12.9422031274323	22.56	16.1160768577794	22.56	8.46404535238948	22.56	1128.4321489726	22.56	960.417769302615	22.56	554.07650996264	22.56	281.344713184931	22.56	161.945864628736	22.56	83.3523274536893	22.56	40.4472516393602	22.56	22.4184257155783	22.56	22.2554276443805	22.56	13.1087067296466	22.56	10.9995787586103	22.56	8.69193071149206	22.56	986.939017745953	22.56	940.861418119552	22.56	528.11045493462	22.56	279.027183219178	22.56	166.350222310866	22.56	89.4620393251868	22.56	43.5741305796622	22.56	21.266176216629	22.56	15.1881783035297	22.56	14.2814710339158	22.56	13.780076726436	22.56	8.8717449943571
