Well	Assay_Plate	Well_type
A1	DR_assay_plate	Experimental
A2	DR_assay_plate	Experimental
A3	DR_assay_plate	Experimental
A4	DR_assay_plate	Experimental
A5	DR_assay_plate	Experimental
A6	DR_assay_plate	Experimental
A7	DR_assay_plate	Experimental
A8	DR_assay_plate	Experimental
A9	DR_assay_plate	Experimental
A10	DR_assay_plate	Experimental
A11	DR_assay_plate	Experimental
A12	DR_assay_plate	Control
A13	DR_assay_plate	Blank
A14	DR_assay_plate	Blank
A15	DR_assay_plate	Blank
A16	DR_assay_plate	Blank
A17	DR_assay_plate	Blank
A18	DR_assay_plate	Blank
A19	DR_assay_plate	Blank
A20	DR_assay_plate	Blank
A21	DR_assay_plate	Blank
A22	DR_assay_plate	Blank
A23	DR_assay_plate	Blank
A24	DR_assay_plate	Blank
B1	DR_assay_plate	Experimental
B2	DR_assay_plate	Experimental
B3	DR_assay_plate	Experimental
B4	DR_assay_plate	Experimental
B5	DR_assay_plate	Experimental
B6	DR_assay_plate	Experimental
B7	DR_assay_plate	Experimental
B8	DR_assay_plate	Experimental
B9	DR_assay_plate	Experimental
B10	DR_assay_plate	Experimental
B11	DR_assay_plate	Experimental
B12	DR_assay_plate	Control
B13	DR_assay_plate	Blank
B14	DR_assay_plate	Blank
B15	DR_assay_plate	Blank
B16	DR_assay_plate	Blank
B17	DR_assay_plate	Blank
B18	DR_assay_plate	Blank
B19	DR_assay_plate	Blank
B20	DR_assay_plate	Blank
B21	DR_assay_plate	Blank
B22	DR_assay_plate	Blank
B23	DR_assay_plate	Blank
B24	DR_assay_plate	Blank
C1	DR_assay_plate	Experimental
C2	DR_assay_plate	Experimental
C3	DR_assay_plate	Experimental
C4	DR_assay_plate	Experimental
C5	DR_assay_plate	Experimental
C6	DR_assay_plate	Experimental
C7	DR_assay_plate	Experimental
C8	DR_assay_plate	Experimental
C9	DR_assay_plate	Experimental
C10	DR_assay_plate	Experimental
C11	DR_assay_plate	Experimental
C12	DR_assay_plate	Control
C13	DR_assay_plate	Blank
C14	DR_assay_plate	Blank
C15	DR_assay_plate	Blank
C16	DR_assay_plate	Blank
C17	DR_assay_plate	Blank
C18	DR_assay_plate	Blank
C19	DR_assay_plate	Blank
C20	DR_assay_plate	Blank
C21	DR_assay_plate	Blank
C22	DR_assay_plate	Blank
C23	DR_assay_plate	Blank
C24	DR_assay_plate	Blank
D1	DR_assay_plate	Experimental
D2	DR_assay_plate	Experimental
D3	DR_assay_plate	Experimental
D4	DR_assay_plate	Experimental
D5	DR_assay_plate	Experimental
D6	DR_assay_plate	Experimental
D7	DR_assay_plate	Experimental
D8	DR_assay_plate	Experimental
D9	DR_assay_plate	Experimental
D10	DR_assay_plate	Experimental
D11	DR_assay_plate	Experimental
D12	DR_assay_plate	Control
D13	DR_assay_plate	Blank
D14	DR_assay_plate	Blank
D15	DR_assay_plate	Blank
D16	DR_assay_plate	Blank
D17	DR_assay_plate	Blank
D18	DR_assay_plate	Blank
D19	DR_assay_plate	Blank
D20	DR_assay_plate	Blank
D21	DR_assay_plate	Blank
D22	DR_assay_plate	Blank
D23	DR_assay_plate	Blank
D24	DR_assay_plate	Blank
E1	DR_assay_plate	Blank
E2	DR_assay_plate	Blank
E3	DR_assay_plate	Blank
E4	DR_assay_plate	Blank
E5	DR_assay_plate	Blank
E6	DR_assay_plate	Blank
E7	DR_assay_plate	Blank
E8	DR_assay_plate	Blank
E9	DR_assay_plate	Blank
E10	DR_assay_plate	Blank
E11	DR_assay_plate	Blank
E12	DR_assay_plate	Blank
E13	DR_assay_plate	Blank
E14	DR_assay_plate	Blank
E15	DR_assay_plate	Blank
E16	DR_assay_plate	Blank
E17	DR_assay_plate	Blank
E18	DR_assay_plate	Blank
E19	DR_assay_plate	Blank
E20	DR_assay_plate	Blank
E21	DR_assay_plate	Blank
E22	DR_assay_plate	Blank
E23	DR_assay_plate	Blank
E24	DR_assay_plate	Blank
F1	DR_assay_plate	Blank
F2	DR_assay_plate	Blank
F3	DR_assay_plate	Blank
F4	DR_assay_plate	Blank
F5	DR_assay_plate	Blank
F6	DR_assay_plate	Blank
F7	DR_assay_plate	Blank
F8	DR_assay_plate	Blank
F9	DR_assay_plate	Blank
F10	DR_assay_plate	Blank
F11	DR_assay_plate	Blank
F12	DR_assay_plate	Blank
F13	DR_assay_plate	Blank
F14	DR_assay_plate	Blank
F15	DR_assay_plate	Blank
F16	DR_assay_plate	Blank
F17	DR_assay_plate	Blank
F18	DR_assay_plate	Blank
F19	DR_assay_plate	Blank
F20	DR_assay_plate	Blank
F21	DR_assay_plate	Blank
F22	DR_assay_plate	Blank
F23	DR_assay_plate	Blank
F24	DR_assay_plate	Blank
G1	DR_assay_plate	Blank
G2	DR_assay_plate	Blank
G3	DR_assay_plate	Blank
G4	DR_assay_plate	Blank
G5	DR_assay_plate	Blank
G6	DR_assay_plate	Blank
G7	DR_assay_plate	Blank
G8	DR_assay_plate	Blank
G9	DR_assay_plate	Blank
G10	DR_assay_plate	Blank
G11	DR_assay_plate	Blank
G12	DR_assay_plate	Blank
G13	DR_assay_plate	Blank
G14	DR_assay_plate	Blank
G15	DR_assay_plate	Blank
G16	DR_assay_plate	Blank
G17	DR_assay_plate	Blank
G18	DR_assay_plate	Blank
G19	DR_assay_plate	Blank
G20	DR_assay_plate	Blank
G21	DR_assay_plate	Blank
G22	DR_assay_plate	Blank
G23	DR_assay_plate	Blank
G24	DR_assay_plate	Blank
H1	DR_assay_plate	Blank
H2	DR_assay_plate	Blank
H3	DR_assay_plate	Blank
H4	DR_assay_plate	Blank
H5	DR_assay_plate	Blank
H6	DR_assay_plate	Blank
H7	DR_assay_plate	Blank
H8	DR_assay_plate	Blank
H9	DR_assay_plate	Blank
H10	DR_assay_plate	Blank
H11	DR_assay_plate	Blank
H12	DR_assay_plate	Blank
H13	DR_assay_plate	Blank
H14	DR_assay_plate	Blank
H15	DR_assay_plate	Blank
H16	DR_assay_plate	Blank
H17	DR_assay_plate	Blank
H18	DR_assay_plate	Blank
