ASSAY_PLATE	SOURCE_PLATE	WELL	COMPOUND	FRACTION	REPLICATE	CONCENTRATION
DR_assay_plate	DR_source_plate	A1	Compound1	0	1	981
DR_assay_plate	DR_source_plate	A2	Compound1	0	1	491
DR_assay_plate	DR_source_plate	A3	Compound1	0	1	245
DR_assay_plate	DR_source_plate	A4	Compound1	0	1	123
DR_assay_plate	DR_source_plate	A5	Compound1	0	1	61.3
DR_assay_plate	DR_source_plate	A6	Compound1	0	1	30.7
DR_assay_plate	DR_source_plate	A7	Compound1	0	1	15.3
DR_assay_plate	DR_source_plate	A8	Compound1	0	1	7.67
DR_assay_plate	DR_source_plate	A9	Compound1	0	1	3.83
DR_assay_plate	DR_source_plate	A10	Compound1	0	1	1.92
DR_assay_plate	DR_source_plate	A11	Compound1	0	1	0.96
DR_assay_plate	DR_source_plate	A12	Control	0	1	0
DR_assay_plate	DR_source_plate	B1	Compound1	0	2	981
DR_assay_plate	DR_source_plate	B2	Compound1	0	2	491
DR_assay_plate	DR_source_plate	B3	Compound1	0	2	245
DR_assay_plate	DR_source_plate	B4	Compound1	0	2	123
DR_assay_plate	DR_source_plate	B5	Compound1	0	2	61.3
DR_assay_plate	DR_source_plate	B6	Compound1	0	2	30.7
DR_assay_plate	DR_source_plate	B7	Compound1	0	2	15.3
DR_assay_plate	DR_source_plate	B8	Compound1	0	2	7.67
DR_assay_plate	DR_source_plate	B9	Compound1	0	2	3.83
DR_assay_plate	DR_source_plate	B10	Compound1	0	2	1.92
DR_assay_plate	DR_source_plate	B11	Compound1	0	2	0.96
DR_assay_plate	DR_source_plate	B12	Control	0	2	0
DR_assay_plate	DR_source_plate	C1	Compound1	0	3	981
DR_assay_plate	DR_source_plate	C2	Compound1	0	3	491
DR_assay_plate	DR_source_plate	C3	Compound1	0	3	245
DR_assay_plate	DR_source_plate	C4	Compound1	0	3	123
DR_assay_plate	DR_source_plate	C5	Compound1	0	3	61.3
DR_assay_plate	DR_source_plate	C6	Compound1	0	3	30.7
DR_assay_plate	DR_source_plate	C7	Compound1	0	3	15.3
DR_assay_plate	DR_source_plate	C8	Compound1	0	3	7.67
DR_assay_plate	DR_source_plate	C9	Compound1	0	3	3.83
DR_assay_plate	DR_source_plate	C10	Compound1	0	3	1.92
DR_assay_plate	DR_source_plate	C11	Compound1	0	3	0.96
DR_assay_plate	DR_source_plate	C12	Control	0	3	0
DR_assay_plate	DR_source_plate	D1	Compound1	0	4	981
DR_assay_plate	DR_source_plate	D2	Compound1	0	4	491
DR_assay_plate	DR_source_plate	D3	Compound1	0	4	245
DR_assay_plate	DR_source_plate	D4	Compound1	0	4	123
DR_assay_plate	DR_source_plate	D5	Compound1	0	4	61.3
DR_assay_plate	DR_source_plate	D6	Compound1	0	4	30.7
DR_assay_plate	DR_source_plate	D7	Compound1	0	4	15.3
DR_assay_plate	DR_source_plate	D8	Compound1	0	4	7.67
DR_assay_plate	DR_source_plate	D9	Compound1	0	4	3.83
DR_assay_plate	DR_source_plate	D10	Compound1	0	4	1.92
DR_assay_plate	DR_source_plate	D11	Compound1	0	4	0.96
DR_assay_plate	DR_source_plate	D12	Control	0	4	0
