ASSAY_PLATE	SOURCE_PLATE	WELL	COMPOUND	FRACTION
Plate_1	Library_plate1	P11	Compound_1	3
Plate_1	Library_plate1	G18	Compound_2	1
Plate_1	Library_plate1	G19	Compound_3	0
Plate_1	Library_plate1	G20	Compound_3	1
Plate_1	Library_plate1	G21	Compound_4	0
Plate_1	Library_plate1	G22	Compound_4	1
Plate_1	Library_plate1	G23	Compound_5	0
Plate_1	Library_plate1	G24	Compound_5	1
Plate_1	Library_plate1	H03	Compound_6	3
Plate_1	Library_plate1	H04	Compound_6	2
Plate_1	Library_plate1	H05	Compound_7	3
Plate_1	Library_plate1	H06	Compound_7	2
Plate_1	Library_plate1	H07	Compound_8	3
Plate_1	Library_plate1	H08	Compound_8	2
Plate_1	Library_plate1	H09	Compound_9	3
Plate_1	Library_plate1	H10	Compound_9	2
Plate_1	Library_plate1	H11	Compound_10	3
Plate_1	Library_plate1	H12	Compound_10	2
Plate_1	Library_plate1	H13	Compound_11	3
Plate_1	Library_plate1	H14	Compound_11	2
Plate_1	Library_plate1	H15	Compound_12	3
Plate_1	Library_plate1	H16	Compound_12	2
Plate_1	Library_plate1	H17	Compound_2	3
Plate_1	Library_plate1	H18	Compound_2	2
Plate_1	Library_plate1	H19	Compound_3	3
Plate_1	Library_plate1	H20	Compound_3	2
Plate_1	Library_plate1	H21	Compound_4	3
Plate_1	Library_plate1	H22	Compound_4	2
Plate_1	Library_plate1	H23	Compound_5	3
Plate_1	Library_plate1	H24	Compound_5	2
Plate_1	Library_plate1	I03	Compound_13	0
Plate_1	Library_plate1	I04	Compound_13	1
Plate_1	Library_plate1	I05	Compound_14	0
Plate_1	Library_plate1	I06	Compound_14	1
Plate_1	Library_plate1	I07	Compound_15	0
Plate_1	Library_plate1	I08	Compound_15	1
Plate_1	Library_plate1	I09	Compound_16	0
Plate_1	Library_plate1	I10	Compound_16	1
Plate_1	Library_plate1	I11	Compound_17	0
Plate_1	Library_plate1	I12	Compound_17	1
Plate_1	Library_plate1	I13	Compound_18	0
Plate_1	Library_plate1	I14	Compound_18	1
Plate_1	Library_plate1	I15	Compound_19	0
Plate_1	Library_plate1	I16	Compound_19	1
Plate_1	Library_plate1	I17	Compound_20	0
Plate_1	Library_plate1	I18	Compound_20	1
Plate_1	Library_plate1	I19	Compound_21	0
Plate_1	Library_plate1	I20	Compound_21	1
Plate_1	Library_plate1	I21	Compound_22	0
Plate_1	Library_plate1	I22	Compound_22	1
Plate_1	Library_plate1	I23	Compound_23	0
Plate_1	Library_plate1	I24	Compound_23	1
Plate_1	Library_plate1	J03	Compound_13	3
Plate_1	Library_plate1	J04	Compound_13	2
Plate_1	Library_plate1	J05	Compound_14	3
Plate_1	Library_plate1	J06	Compound_14	2
Plate_1	Library_plate1	J07	Compound_15	3
Plate_1	Library_plate1	J08	Compound_15	2
Plate_1	Library_plate1	J09	Compound_16	3
Plate_1	Library_plate1	J10	Compound_16	2
Plate_1	Library_plate1	J11	Compound_17	3
Plate_1	Library_plate1	J12	Compound_17	2
Plate_1	Library_plate1	J13	Compound_18	3
Plate_1	Library_plate1	J14	Compound_18	2
Plate_1	Library_plate1	J15	Compound_19	3
Plate_1	Library_plate1	J16	Compound_19	2
Plate_1	Library_plate1	J17	Compound_20	3
Plate_1	Library_plate1	J18	Compound_20	2
Plate_1	Library_plate1	J19	Compound_21	3
Plate_1	Library_plate1	J20	Compound_21	2
Plate_1	Library_plate1	J21	Compound_22	3
Plate_1	Library_plate1	J22	Compound_22	2
Plate_1	Library_plate1	J23	Compound_23	3
Plate_1	Library_plate1	J24	Compound_23	2
Plate_1	Library_plate1	K03	Compound_24	0
Plate_1	Library_plate1	K04	Compound_24	1
Plate_1	Library_plate1	K05	Compound_25	0
Plate_1	Library_plate1	K06	Compound_25	1
Plate_1	Library_plate1	K07	Compound_26	0
Plate_1	Library_plate1	K08	Compound_26	1
Plate_1	Library_plate1	K09	Compound_27	0
Plate_1	Library_plate1	K10	Compound_27	1
Plate_1	Library_plate1	K11	Compound_28	0
Plate_1	Library_plate1	K12	Compound_28	1
Plate_1	Library_plate1	K13	Compound_29	0
Plate_1	Library_plate1	K14	Compound_29	1
Plate_1	Library_plate1	K15	Compound_30	0
Plate_1	Library_plate1	K16	Compound_30	1
Plate_1	Library_plate1	K17	Compound_31	0
Plate_1	Library_plate1	K18	Compound_31	1
Plate_1	Library_plate1	K19	Compound_32	0
Plate_1	Library_plate1	K20	Compound_32	1
Plate_1	Library_plate1	K21	Compound_33	0
Plate_1	Library_plate1	K22	Compound_33	1
Plate_1	Library_plate1	K23	Compound_34	0
Plate_1	Library_plate1	K24	Compound_34	1
