Assay_Plate	Well	Well_type
Assay_plate1	A1	Blank
Assay_plate1	A2	Blank
Assay_plate1	A3	Blank
Assay_plate1	A4	Blank
Assay_plate1	A5	Blank
Assay_plate1	A6	Blank
Assay_plate1	A7	Blank
Assay_plate1	A8	Blank
Assay_plate1	A9	Blank
Assay_plate1	A10	Blank
Assay_plate1	A11	Blank
Assay_plate1	A12	Blank
Assay_plate1	A13	Blank
Assay_plate1	A14	Blank
Assay_plate1	A15	Blank
Assay_plate1	A16	Blank
Assay_plate1	A17	Blank
Assay_plate1	A18	Blank
Assay_plate1	A19	Blank
Assay_plate1	A20	Blank
Assay_plate1	A21	Blank
Assay_plate1	A22	Blank
Assay_plate1	A23	Blank
Assay_plate1	A24	Blank
Assay_plate1	B1	Experimental
Assay_plate1	B2	Experimental
Assay_plate1	B3	Experimental
Assay_plate1	B4	Experimental
Assay_plate1	B5	Experimental
Assay_plate1	B6	Experimental
Assay_plate1	B7	Experimental
Assay_plate1	B8	Experimental
Assay_plate1	B9	Experimental
Assay_plate1	B10	Experimental
Assay_plate1	B11	Experimental
Assay_plate1	B12	Experimental
Assay_plate1	B13	Experimental
Assay_plate1	B14	Experimental
Assay_plate1	B15	Experimental
Assay_plate1	B16	Experimental
Assay_plate1	B17	Blank
Assay_plate1	B18	Blank
Assay_plate1	B19	Blank
Assay_plate1	B20	Blank
Assay_plate1	B21	Blank
Assay_plate1	B22	Blank
Assay_plate1	B23	Blank
Assay_plate1	B24	Blank
Assay_plate1	C1	Experimental
Assay_plate1	C2	Experimental
Assay_plate1	C3	Experimental
Assay_plate1	C4	Experimental
Assay_plate1	C5	Experimental
Assay_plate1	C6	Experimental
Assay_plate1	C7	Experimental
Assay_plate1	C8	Experimental
Assay_plate1	C9	Experimental
Assay_plate1	C10	Experimental
Assay_plate1	C11	Experimental
Assay_plate1	C12	Experimental
Assay_plate1	C13	Experimental
Assay_plate1	C14	Experimental
Assay_plate1	C15	Experimental
Assay_plate1	C16	Experimental
Assay_plate1	C17	Blank
Assay_plate1	C18	Blank
Assay_plate1	C19	Blank
Assay_plate1	C20	Blank
Assay_plate1	C21	Blank
Assay_plate1	C22	Blank
Assay_plate1	C23	Blank
Assay_plate1	C24	Blank
Assay_plate1	D1	Experimental
Assay_plate1	D2	Experimental
Assay_plate1	D3	Experimental
Assay_plate1	D4	Experimental
Assay_plate1	D5	Experimental
Assay_plate1	D6	Experimental
Assay_plate1	D7	Experimental
Assay_plate1	D8	Experimental
Assay_plate1	D9	Experimental
Assay_plate1	D10	Experimental
Assay_plate1	D11	Experimental
Assay_plate1	D12	Experimental
Assay_plate1	D13	Experimental
