"Filename: ""C:\path\to\file.csv""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*NOTE: This file was taken from http://www.bmsc.washington.edu/FIT/documentation/format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wellset: ""Default""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step,Cycle,Dye,Temp.,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
2,1, HEX,20,0.196,0.099,0.2159,0,0.0667,0.0642,0.5213,0.1632,0.0652,0.4636,0.4375,0.3498,2.9761,2.7683,1.978,2.7444,1.7186,2.2999,1.7604,1.9105,3.7197,3.2461,3.3465,4.8527,0.0256,0.0462,0.0288,0.0413,0.0055,0.0305,0,0.0412,0.0277,0.0235,0.0304,0.0296,2.5224,2.5896,1.7642,3.6821,2.8917,2.4217,2.4543,3.0957,3.1148,1.7425,3.1161,3.1234
2,2, HEX,20.2,0.1976,0.1005,0.23,0.0127,0.0731,0.0757,0.5301,0.1717,0.0791,0.464,0.4498,0.3413,2.9864,2.7711,1.9791,2.7578,1.7235,2.3214,1.7713,1.9194,3.729,3.2416,3.3439,4.8624,0.0235,0.0465,0.0261,0.0429,0.0054,0.0321,0.0051,0.0442,0.0248,0.021,0.0288,0.0292,2.5367,2.5938,1.7877,3.6999,2.8964,2.428,2.4556,3.1114,3.1152,1.7502,3.1229,3.1433
2,3, HEX,20.3,0.209,0.0981,0.2396,0.0198,0.077,0.0786,0.5267,0.1755,0.0812,0.4629,0.4401,0.3395,2.9931,2.7683,1.9699,2.7588,1.7221,2.3171,1.7716,1.9279,3.7417,3.2486,3.3437,4.862,0.0199,0.0459,0.029,0.041,0.0064,0.0332,0.0059,0.0435,0.0267,0.0203,0.0293,0.0283,2.542,2.5911,1.7799,3.7152,2.9053,2.4381,2.4538,3.1186,3.1088,1.7518,3.1179,3.1326
2,4, HEX,20.6,0.1966,0.0995,0.2346,0.0175,0.0778,0.0701,0.5274,0.1747,0.0861,0.4622,0.447,0.3369,2.9986,2.7671,1.9651,2.7702,1.7288,2.3186,1.7713,1.9252,3.7352,3.2486,3.3515,4.8773,0.0223,0.0475,0.0276,0.044,0.0064,0.0328,0.0096,0.045,0.0256,0.0228,0.0309,0.0316,2.5471,2.6006,1.7907,3.7277,2.902,2.4405,2.4456,3.1178,3.0971,1.7505,3.1216,3.1428
2,5, HEX,20.7,0.2049,0.0981,0.2302,0.0301,0.0825,0.0816,0.5234,0.1883,0.0931,0.4598,0.4302,0.3271,2.9967,2.7716,1.9643,2.781,1.7292,2.3228,1.7679,1.9319,3.7413,3.2436,3.3469,4.8564,0.0212,0.0454,0.0305,0.0429,0.0076,0.0309,0.0086,0.0453,0.0261,0.0218,0.0298,0.0289,2.5487,2.5925,1.792,3.7407,2.9107,2.4385,2.4478,3.125,3.0905,1.7482,3.1231,3.131
2,6, HEX,20.9,0.1972,0.103,0.2269,0.0342,0.0808,0.0839,0.5205,0.1888,0.0957,0.456,0.4309,0.3367,3.0079,2.7728,1.9685,2.7929,1.7307,2.3218,1.7705,1.9409,3.7299,3.2442,3.3515,4.8506,0.0227,0.0424,0.0292,0.0434,0.0098,0.0316,0.0107,0.0453,0.0239,0.0232,0.028,0.0297,2.5437,2.5928,1.7981,3.7387,2.9018,2.4364,2.4327,3.1219,3.083,1.7474,3.1149,3.1383
2,7, HEX,21.1,0.2037,0.0954,0.2259,0.0293,0.0788,0.0733,0.5111,0.1829,0.0932,0.442,0.4163,0.3309,2.9903,2.7795,1.9508,2.7854,1.7225,2.3224,1.7619,1.9396,3.7314,3.2412,3.341,4.8396,0.02,0.0426,0.0307,0.0409,0.0097,0.0301,0.0087,0.0455,0.0243,0.0204,0.0309,0.0276,2.5453,2.5869,1.797,3.7498,2.897,2.4285,2.4308,3.1298,3.0767,1.7449,3.113,3.136
2,8, HEX,21.3,0.1988,0.0905,0.2209,0.0361,0.0814,0.068,0.5045,0.1799,0.0919,0.4416,0.422,0.329,2.9934,2.7658,1.9548,2.7951,1.726,2.3239,1.763,1.9416,3.7192,3.2473,3.3428,4.8431,0.0208,0.0411,0.0297,0.0433,0.0152,0.0306,0.0113,0.0463,0.0267,0.0212,0.0265,0.0285,2.5311,2.5824,1.7955,3.7415,2.8874,2.4342,2.419,3.1251,3.0681,1.743,3.1022,3.1328
2,9, HEX,21.5,0.1951,0.0937,0.2299,0.0407,0.0778,0.0669,0.5021,0.1862,0.0933,0.4344,0.4161,0.3207,3.0009,2.7584,1.9475,2.7904,1.7247,2.3263,1.7614,1.9422,3.7215,3.2361,3.3428,4.8353,0.0205,0.0418,0.0303,0.0412,0.0143,0.0295,0.0114,0.0455,0.0234,0.0188,0.0264,0.0279,2.5324,2.5725,1.7956,3.7351,2.8868,2.4248,2.4218,3.1237,3.0407,1.7382,3.0969,3.1394
2,10, HEX,21.7,0.1951,0.0865,0.2258,0.0443,0.0803,0.0671,0.4912,0.1903,0.0952,0.4405,0.4218,0.3233,3.0024,2.7512,1.9283,2.8049,1.7253,2.3172,1.7636,1.9457,3.7145,3.2283,3.3421,4.8276,0.0199,0.0414,0.0315,0.0417,0.0183,0.0291,0.0123,0.0451,0.0234,0.0214,0.026,0.0294,2.5277,2.5689,1.8035,3.7508,2.8797,2.4202,2.4161,3.1509,3.0512,1.7353,3.0917,3.126
2,11, HEX,21.9,0.192,0.0826,0.2217,0.0297,0.0787,0.0651,0.4828,0.1866,0.1019,0.437,0.4161,0.3239,2.9985,2.7524,1.9405,2.8057,1.7233,2.3296,1.7643,1.9547,3.7174,3.2386,3.3452,4.8203,0.0207,0.039,0.0311,0.0438,0.0203,0.0277,0.0129,0.0465,0.0239,0.0182,0.0253,0.0276,2.5238,2.5524,1.7956,3.7428,2.8739,2.4207,2.4094,3.1341,3.0348,1.7301,3.0892,3.1289
2,12, HEX,22.1,0.1931,0.0824,0.2163,0.0379,0.0803,0.0602,0.4818,0.188,0.0979,0.4259,0.4066,0.3108,3.0026,2.7496,1.9286,2.7915,1.7199,2.3203,1.7512,1.9534,3.7171,3.2244,3.3319,4.8279,0.0189,0.0389,0.0299,0.0399,0.0199,0.0291,0.0166,0.0488,0.0224,0.0163,0.0255,0.0249,2.5134,2.5499,1.796,3.7521,2.8719,2.4226,2.412,3.1367,3.0254,1.728,3.0756,3.118
2,13, HEX,22.3,0.1849,0.0796,0.2126,0.041,0.0788,0.0561,0.4699,0.1834,0.0923,0.4162,0.3978,0.3107,3.0078,2.7532,1.9209,2.7994,1.7165,2.3227,1.7597,1.9558,3.7079,3.2292,3.3459,4.8329,0.0207,0.0363,0.0287,0.0415,0.0223,0.0277,0.0198,0.0483,0.022,0.0175,0.0255,0.0279,2.5054,2.5467,1.797,3.7487,2.8644,2.4104,2.3862,3.1301,3.0158,1.7271,3.0708,3.1234
2,14, HEX,22.5,0.1843,0.0801,0.212,0.0442,0.0798,0.0615,0.4711,0.1834,0.0951,0.4096,0.3954,0.3104,2.9973,2.7412,1.9202,2.7953,1.7208,2.3248,1.76,1.9596,3.7122,3.2293,3.3353,4.8114,0.0206,0.0374,0.0286,0.0439,0.0214,0.0287,0.0194,0.0474,0.0208,0.0189,0.0229,0.0243,2.5031,2.5367,1.7987,3.7485,2.8562,2.4104,2.3921,3.1337,3.0081,1.7256,3.0655,3.1091
2,15, HEX,22.7,0.1777,0.0755,0.2065,0.0467,0.0751,0.0608,0.4686,0.1881,0.1027,0.41,0.3956,0.3113,2.9958,2.7354,1.9173,2.8022,1.7242,2.3274,1.7578,1.9593,3.702,3.2233,3.333,4.7982,0.0193,0.0345,0.0299,0.0425,0.0222,0.0295,0.0179,0.0502,0.0234,0.0161,0.024,0.0275,2.5033,2.5291,1.7996,3.7448,2.8502,2.4022,2.3849,3.1272,3.0007,1.7242,3.0505,3.1152
2,16, HEX,22.9,0.1721,0.0698,0.2093,0.048,0.0746,0.0486,0.448,0.1788,0.0903,0.3947,0.3886,0.307,2.9981,2.7364,1.9144,2.8063,1.7216,2.3308,1.7531,1.9582,3.7017,3.2171,3.3384,4.8024,0.0208,0.0371,0.0295,0.0406,0.0234,0.0263,0.019,0.0491,0.0194,0.016,0.0218,0.0253,2.4936,2.5189,1.794,3.7426,2.8471,2.3938,2.3712,3.1318,2.9811,1.716,3.0535,3.1133
2,17, HEX,23.1,0.1659,0.0633,0.2023,0.0417,0.0755,0.0495,0.4369,0.1737,0.0942,0.3885,0.3776,0.2977,2.9911,2.7294,1.905,2.7981,1.7161,2.3263,1.7461,1.9596,3.7013,3.2123,3.3188,4.7674,0.0202,0.0333,0.0275,0.0394,0.0253,0.0248,0.0215,0.0484,0.018,0.0168,0.0202,0.0244,2.4888,2.5062,1.8015,3.7453,2.8383,2.3888,2.3622,3.1337,2.9808,1.7194,3.0433,3.1088
2,18, HEX,23.3,0.1673,0.0628,0.1865,0.0483,0.0761,0.0541,0.434,0.1752,0.0951,0.381,0.386,0.2962,2.9881,2.7327,1.9054,2.7993,1.7218,2.3334,1.7556,1.9646,3.696,3.2185,3.3326,4.786,0.0206,0.0327,0.0283,0.0393,0.0246,0.0233,0.021,0.0476,0.0248,0.0164,0.0213,0.0241,2.4719,2.5016,1.7982,3.7385,2.8236,2.3893,2.353,3.1378,2.9803,1.719,3.0421,3.1084
2,19, HEX,23.5,0.1692,0.06,0.1888,0.0466,0.0726,0.0479,0.4298,0.1742,0.0957,0.3871,0.3766,0.295,2.9951,2.7347,1.9101,2.8024,1.7179,2.3335,1.7543,1.9657,3.6964,3.2124,3.3302,4.7766,0.0216,0.031,0.0287,0.038,0.0238,0.0234,0.0216,0.0482,0.0198,0.015,0.0211,0.0228,2.4719,2.4854,1.8042,3.7376,2.8143,2.3769,2.3428,3.1303,2.9616,1.712,3.0282,3.0923
2,20, HEX,23.7,0.1645,0.0551,0.1854,0.0455,0.0768,0.0592,0.4191,0.1779,0.1024,0.377,0.3689,0.2929,2.9865,2.7271,1.8921,2.7977,1.7169,2.3372,1.7474,1.9723,3.698,3.2178,3.3293,4.7764,0.0223,0.0315,0.0264,0.0397,0.0272,0.0239,0.0201,0.0498,0.0181,0.015,0.0197,0.0223,2.4656,2.4843,1.7976,3.7385,2.8111,2.3727,2.3312,3.132,2.9754,1.7112,3.023,3.0918
2,21, HEX,23.9,0.1581,0.0513,0.1752,0.0434,0.0673,0.0409,0.4109,0.1654,0.0913,0.3687,0.3624,0.2878,2.9881,2.7212,1.8987,2.792,1.7218,2.3365,1.7479,1.974,3.6901,3.2102,3.3352,4.776,0.0216,0.0302,0.0272,0.0393,0.0259,0.0206,0.0204,0.0488,0.0183,0.0142,0.021,0.0222,2.4521,2.4699,1.7995,3.7442,2.8068,2.3721,2.3252,3.1326,2.9546,1.7069,3.0231,3.1028
